Country_Code,year,NGDP,NGDPD,GGR,GGX,PCPI,PPPEX,PCPI_2020,PCPI_2020_multiplier,GGR_in_2020_LCU,GGX_in_2020_LCU,EX_RATE,GGR_in_2020_USD,GGX_in_2020_USD,Fiscal_Deficit_in_2020_USD,Avg_Fiscal_Deficit_Pre_2019,Excess_Fiscal_Deficit,Excess_Fiscal_Deficit_2020,Excess_Fiscal_Deficit_2021,Excess_Fiscal_Deficit_2020_2021,country_number,Resource_Rich,Oil_Gas_Rich,Region_Code,Reg,IDA,Country,Income_Group,Country_Code2,Small_States,IBRD_IDA
AFG,2014,1183.04,20.635,280.187,300.521,101.97,17.036,120.484,1.181563205,331.0586497,355.0845559,57.33171795,5.77444147,6.193509781,0.419068311,0.107624928,0,0.423132973,0.300608726,0.723741699,1,NO,NO,SA,South Asia,YES,Afghanistan,Low Income,AF,NO,IDA
AFG,2015,1226.57,20.22,301.356,318.255,101.296,17.023,120.484,1.189425051,358.4403758,378.5404697,60.66122651,5.90888771,6.240237653,0.331349943,0.107624928,0,0.423132973,0.300608726,0.723741699,1,NO,NO,SA,South Asia,YES,Afghanistan,Low Income,AF,NO,IDA
AFG,2016,1222.92,17.994,344.327,342.771,105.736,17.446,120.484,1.139479458,392.3535434,390.5805134,67.96265422,5.773075639,5.74698734,-0.026088299,0.107624928,0,0.423132973,0.300608726,0.723741699,1,NO,NO,SA,South Asia,YES,Afghanistan,Low Income,AF,NO,IDA
AFG,2017,1285.46,18.91,347.829,356.482,110.998,17.206,120.484,1.085460999,377.5548139,386.947308,67.97778953,5.554090778,5.69226082,0.138170042,0.107624928,0,0.423132973,0.300608726,0.723741699,1,NO,NO,SA,South Asia,YES,Afghanistan,Low Income,AF,NO,IDA
AFG,2018,1327.69,18.401,405.873,384.176,111.693,17.15,120.484,1.078706812,437.8179701,414.4132684,72.15314385,6.067898732,5.743523376,-0.324375356,0.107624928,0,0.423132973,0.300608726,0.723741699,1,NO,NO,SA,South Asia,YES,Afghanistan,Low Income,AF,NO,IDA
AFG,2019,1469.6,18.876,395.923,411.473,114.264,17.948,120.484,1.054435343,417.4752042,433.8716738,77.85547786,5.362181515,5.572782876,0.210601361,0.107624928,0,0.423132973,0.300608726,0.723741699,1,NO,NO,SA,South Asia,YES,Afghanistan,Low Income,AF,NO,IDA
AFG,2020,1465.92,19.006,437.848,478.785,120.484,18.583,120.484,1,437.848,478.785,77.12932758,5.676803023,6.207560924,0.530757901,0.107624928,0.423132973,0.423132973,0.300608726,0.723741699,1,NO,NO,SA,South Asia,YES,Afghanistan,Low Income,AF,NO,IDA
AFG,2021,1597.74,19.692,411.943,446.653,126.258,19.054,120.484,0.954268244,393.1041234,426.2267742,81.13650213,4.844972522,5.253206177,0.408233654,0.107624928,0.300608726,0.423132973,0.300608726,0.723741699,1,NO,NO,SA,South Asia,YES,Afghanistan,Low Income,AF,NO,IDA
AFG,2022,1741.83,20.829,468.923,490.051,131.677,19.526,120.484,0.914996545,429.0629247,448.3949717,83.62523405,5.130782946,5.361957748,0.231174803,0.107624928,0.123549875,0.423132973,0.300608726,0.723741699,1,NO,NO,SA,South Asia,YES,Afghanistan,Low Income,AF,NO,IDA
AFG,2023,1893.02,22.022,540.517,549.596,137.001,19.946,120.484,0.879438836,475.3516414,483.3360666,85.96040323,5.529890782,5.622775702,0.09288492,0.107624928,-0.014740008,0.423132973,0.300608726,0.723741699,1,NO,NO,SA,South Asia,YES,Afghanistan,Low Income,AF,NO,IDA
AFG,2024,2047.67,23.169,575.625,590.034,142.54,20.354,120.484,0.845264487,486.5553704,498.7347864,88.37973154,5.505282285,5.643090081,0.137807796,0.107624928,0.030182868,0.423132973,0.300608726,0.723741699,1,NO,NO,SA,South Asia,YES,Afghanistan,Low Income,AF,NO,IDA
AFG,2025,2215.01,24.372,611.388,630.838,148.304,20.762,120.484,0.812412342,496.6991571,512.5005771,90.88339078,5.465235758,5.63910053,0.173864772,0.107624928,0.066239844,0.423132973,0.300608726,0.723741699,1,NO,NO,SA,South Asia,YES,Afghanistan,Low Income,AF,NO,IDA
AGO,2014,14323.86,145.712,4402.64,5222.02,135.927,65.001,426.808,3.139979548,13824.19956,16397.036,98.302542,140.6291157,166.8017496,26.17263389,11.14976038,0,-9.388785246,-11.07722763,-20.46601288,4,YES,YES,SSA,Sub-Saharan Africa,YES,Angola,Upper-Middle Income,AO,NO,IBRD
AGO,2015,13950.29,116.194,3366.74,3773.71,148.377,68.182,426.808,2.87651051,9684.462996,10855.11648,120.0603301,80.66330473,90.41384832,9.75054359,11.14976038,0,-9.388785246,-11.07722763,-20.46601288,4,YES,YES,SSA,Sub-Saharan Africa,YES,Angola,Upper-Middle Income,AO,NO,IBRD
AGO,2016,16549.57,101.124,2899.97,3648.04,193.92,80.779,426.808,2.200948845,6382.685622,8029.149424,163.6562043,39.00057227,49.06107569,10.06050342,11.14976038,0,-9.388785246,-11.07722763,-20.46601288,4,YES,YES,SSA,Sub-Saharan Africa,YES,Angola,Upper-Middle Income,AO,NO,IBRD
AGO,2017,20262.28,122.124,3546.27,4823.57,251.795,92.952,426.808,1.695061459,6011.145599,8176.2476,165.9156267,36.23013526,49.27955107,13.0494158,11.14976038,0,-9.388785246,-11.07722763,-20.46601288,4,YES,YES,SSA,Sub-Saharan Africa,YES,Angola,Upper-Middle Income,AO,NO,IBRD
AGO,2018,26777.99,105.902,5859.96,5273.87,301.218,121.419,426.808,1.416940555,8303.214973,7472.760283,252.85632,32.8376802,29.55338543,-3.284294771,11.14976038,0,-9.388785246,-11.07722763,-20.46601288,4,YES,YES,SSA,Sub-Saharan Africa,YES,Angola,Upper-Middle Income,AO,NO,IBRD
AGO,2019,32621.7,89.417,6529.1,6270.79,352.664,146.641,426.808,1.210239775,7901.776515,7589.159478,364.826599,21.65899235,20.80210023,-0.856892116,11.14976038,0,-9.388785246,-11.07722763,-20.46601288,4,YES,YES,SSA,Sub-Saharan Africa,YES,Angola,Upper-Middle Income,AO,NO,IBRD
AGO,2020,35518.1,62.724,6366.63,7363.8,426.808,164.018,426.808,1,6366.63,7363.8,566.2601237,11.24329568,13.00427081,1.760975139,11.14976038,-9.388785246,-9.388785246,-11.07722763,-20.46601288,4,YES,YES,SSA,Sub-Saharan Africa,YES,Angola,Upper-Middle Income,AO,NO,IBRD
AGO,2021,45349.25,68.072,8924.47,8982.76,514.862,198.482,426.808,0.828975531,7398.16726,7446.488244,666.195352,11.10510189,11.17763464,0.072532754,11.14976038,-11.07722763,-9.388785246,-11.07722763,-20.46601288,4,YES,YES,SSA,Sub-Saharan Africa,YES,Angola,Upper-Middle Income,AO,NO,IBRD
AGO,2022,53459.17,72.364,10825.22,10301.41,586.998,223.226,426.808,0.727102988,7871.049812,7490.185996,738.753662,10.65449854,10.1389494,-0.515549142,11.14976038,-11.66530953,-9.388785246,-11.07722763,-20.46601288,4,YES,YES,SSA,Sub-Saharan Africa,YES,Angola,Upper-Middle Income,AO,NO,IBRD
AGO,2023,60321.81,78.587,12130.23,11131.45,639.228,238.043,426.808,0.667692905,8099.268502,7432.390183,767.5800069,10.55169289,9.682886625,-0.868806265,11.14976038,-12.01856665,-9.388785246,-11.07722763,-20.46601288,4,YES,YES,SSA,Sub-Saharan Africa,YES,Angola,Upper-Middle Income,AO,NO,IBRD
AGO,2024,66625.75,85.129,13046.83,11867.74,683.34,248.611,426.808,0.62459098,8148.93233,7412.483352,782.6445747,10.4120473,9.4710723,-0.940974999,11.14976038,-12.09073538,-9.388785246,-11.07722763,-20.46601288,4,YES,YES,SSA,Sub-Saharan Africa,YES,Angola,Upper-Middle Income,AO,NO,IBRD
AGO,2025,72280.13,91.453,13766.03,12409.6,724.34,257.096,426.808,0.589237099,8111.455576,7312.196699,790.3527495,10.26308263,9.251814084,-1.011268548,11.14976038,-12.16102893,-9.388785246,-11.07722763,-20.46601288,4,YES,YES,SSA,Sub-Saharan Africa,YES,Angola,Upper-Middle Income,AO,NO,IBRD
ALB,2014,1395.31,13.246,366.569,442.718,98.167,42.894,108.38,1.104036998,404.7057384,488.7770518,105.3382153,3.841965019,4.640073408,0.79810839,0.384513897,0,0.797436815,0.3012099,1.098646715,2,NO,NO,ECA,Eastern Europe & Central Asia,NO,Albania,Upper-Middle Income,AL,NO,IBRD
ALB,2015,1434.31,11.389,377.545,435.698,100,42.694,108.38,1.0838,409.183271,472.2094924,125.938186,3.249080236,3.749533859,0.500453623,0.384513897,0,0.797436815,0.3012099,1.098646715,2,NO,NO,ECA,Eastern Europe & Central Asia,NO,Albania,Upper-Middle Income,AL,NO,IBRD
ALB,2016,1472.48,11.862,403.131,429.073,101.282,42.39,108.38,1.070081554,431.3830471,459.1431028,124.1342101,3.475134267,3.698763641,0.223629374,0.384513897,0,0.797436815,0.3012099,1.098646715,2,NO,NO,ECA,Eastern Europe & Central Asia,NO,Albania,Upper-Middle Income,AL,NO,IBRD
ALB,2017,1550.65,13.053,430.397,451.989,103.295,41.231,108.38,1.049227939,451.5845574,474.2394871,118.7964453,3.801330557,3.992034324,0.190703767,0.384513897,0,0.797436815,0.3012099,1.098646715,2,NO,NO,ECA,Eastern Europe & Central Asia,NO,Albania,Upper-Middle Income,AL,NO,IBRD
ALB,2018,1635.72,15.147,449.389,471.407,105.39,40.812,108.38,1.028370813,462.1385314,484.7811999,107.9897009,4.279468573,4.489142907,0.209674333,0.384513897,0,0.797436815,0.3012099,1.098646715,2,NO,NO,ECA,Eastern Europe & Central Asia,NO,Albania,Upper-Middle Income,AL,NO,IBRD
ALB,2019,1678.43,15.276,460.314,493.165,106.878,40.242,108.38,1.014053407,466.7829798,500.0956483,109.873658,4.248361147,4.551551821,0.303190674,0.384513897,0,0.797436815,0.3012099,1.098646715,2,NO,NO,ECA,Eastern Europe & Central Asia,NO,Albania,Upper-Middle Income,AL,NO,IBRD
ALB,2020,1570.14,14.034,384.224,516.462,108.38,40.144,108.38,1,384.224,516.462,111.8811458,3.434215813,4.616166525,1.181950713,0.384513897,0.797436815,0.797436815,0.3012099,1.098646715,2,NO,NO,ECA,Eastern Europe & Central Asia,NO,Albania,Upper-Middle Income,AL,NO,IBRD
ALB,2021,1691.65,14.763,452.459,532.35,110.195,39.885,108.38,0.983529198,445.0066375,523.5817687,114.5871435,3.883565152,4.569288949,0.685723797,0.384513897,0.3012099,0.797436815,0.3012099,1.098646715,2,NO,NO,ECA,Eastern Europe & Central Asia,NO,Albania,Upper-Middle Income,AL,NO,IBRD
ALB,2022,1827.02,16.13,494.724,541.995,112.785,39.996,108.38,0.960943388,475.4017566,520.8265115,113.2684439,4.197124462,4.598160737,0.401036276,0.384513897,0.016522378,0.797436815,0.3012099,1.098646715,2,NO,NO,ECA,Eastern Europe & Central Asia,NO,Albania,Upper-Middle Income,AL,NO,IBRD
ALB,2023,1951.8,17.728,527.91,567.816,115.807,40.233,108.38,0.935867435,494.0537774,531.4005033,110.0970217,4.487439987,4.826656482,0.339216495,0.384513897,-0.045297402,0.797436815,0.3012099,1.098646715,2,NO,NO,ECA,Eastern Europe & Central Asia,NO,Albania,Upper-Middle Income,AL,NO,IBRD
ALB,2024,2077.32,18.856,558.561,600.047,119.2,40.613,108.38,0.909228188,507.8594059,545.5796465,110.1675859,4.609880498,4.952270143,0.342389645,0.384513897,-0.042124253,0.797436815,0.3012099,1.098646715,2,NO,NO,ECA,Eastern Europe & Central Asia,NO,Albania,Upper-Middle Income,AL,NO,IBRD
ALB,2025,2210.57,20.052,592.1,634.791,122.776,40.983,108.38,0.882745814,522.6737962,560.3590977,110.2418711,4.741154979,5.082996977,0.341841998,0.384513897,-0.042671899,0.797436815,0.3012099,1.098646715,2,NO,NO,ECA,Eastern Europe & Central Asia,NO,Albania,Upper-Middle Income,AL,NO,IBRD
ARE,2014,1480.52,403.137,518.752,490.458,255.265,2.183,274.057,1.073617613,556.941284,526.5643473,3.672498431,151.651878,143.3804145,-8.271463505,2.799133648,0,32.23351815,15.7721855,48.00570365,99,YES,YES,MENA,Middle East & North Africa,NO,United Arab Emirates,High Income,AE,NO,NONE
ARE,2015,1315.25,358.135,381.376,425.612,265.654,2.188,274.057,1.03163137,393.4394454,439.0746907,3.672497801,107.131295,119.5575095,12.42621446,2.799133648,0,32.23351815,15.7721855,48.00570365,99,YES,YES,MENA,Middle East & North Africa,NO,United Arab Emirates,High Income,AE,NO,NONE
ARE,2016,1311.25,357.045,378.476,415.446,269.951,2.19,274.057,1.015210168,384.2326835,421.7650034,3.672506267,104.6241056,114.8439166,10.21981099,2.799133648,0,32.23351815,15.7721855,48.00570365,99,YES,YES,MENA,Middle East & North Africa,NO,United Arab Emirates,High Income,AE,NO,NONE
ARE,2017,1416.14,385.605,404.413,432.031,275.261,2.222,274.057,0.99562597,402.6440852,430.1412832,3.67251462,109.6371633,117.1244577,7.487294367,2.799133648,0,32.23351815,15.7721855,48.00570365,99,YES,YES,MENA,Middle East & North Africa,NO,United Arab Emirates,High Income,AE,NO,NONE
ARE,2018,1550.59,422.215,477.564,447.658,283.708,2.348,274.057,0.96598263,461.3185287,432.4298522,3.672512819,125.6138648,117.7476767,-7.866188072,2.799133648,0,32.23351815,15.7721855,48.00570365,99,YES,YES,MENA,Middle East & North Africa,NO,United Arab Emirates,High Income,AE,NO,NONE
ARE,2019,1546.65,421.142,460.813,472.616,278.23,2.263,274.057,0.985001617,453.9015503,465.5275244,3.672514259,123.5942241,126.7598957,3.1656716,2.799133648,0,32.23351815,15.7721855,48.00570365,99,YES,YES,MENA,Middle East & North Africa,NO,United Arab Emirates,High Income,AE,NO,NONE
ARE,2020,1299.7,353.899,338.104,466.762,274.057,2.007,274.057,1,338.104,466.762,3.672516735,92.0632973,127.0959491,35.0326518,2.799133648,32.23351815,32.23351815,15.7721855,48.00570365,99,YES,YES,MENA,Middle East & North Africa,NO,United Arab Emirates,High Income,AE,NO,NONE
ARE,2021,1370.37,373.145,383.151,452.377,278.168,2.043,274.057,0.985221161,377.4884732,445.6913933,3.672486567,102.7882516,121.3595707,18.57131915,2.799133648,15.7721855,32.23351815,15.7721855,48.00570365,99,YES,YES,MENA,Middle East & North Africa,NO,United Arab Emirates,High Income,AE,NO,NONE
ARE,2022,1431.3,389.735,400.038,453.103,283.731,2.051,274.057,0.965904325,386.3984343,437.6541473,3.672495414,105.2141367,119.1707812,13.95664452,2.799133648,11.15751087,32.23351815,15.7721855,48.00570365,99,YES,YES,MENA,Middle East & North Africa,NO,United Arab Emirates,High Income,AE,NO,NONE
ARE,2023,1498.71,408.089,417.989,461.553,289.406,2.057,274.057,0.946963781,395.8204439,437.073974,3.672507713,107.7793363,119.0124047,11.23306835,2.799133648,8.433934702,32.23351815,15.7721855,48.00570365,99,YES,YES,MENA,Middle East & North Africa,NO,United Arab Emirates,High Income,AE,NO,NONE
ARE,2024,1569.39,427.335,431.299,470.962,295.483,2.06,274.057,0.927488214,400.0247393,436.8117043,3.672505177,108.9242138,118.9410724,10.01685859,2.799133648,7.217724944,32.23351815,15.7721855,48.00570365,99,YES,YES,MENA,Middle East & North Africa,NO,United Arab Emirates,High Income,AE,NO,NONE
ARE,2025,1642.83,447.333,444.44,480.859,301.688,2.062,274.057,0.908412002,403.7346301,436.8180868,3.672499011,109.9345783,118.9430101,9.008431751,2.799133648,6.209298102,32.23351815,15.7721855,48.00570365,99,YES,YES,MENA,Middle East & North Africa,NO,United Arab Emirates,High Income,AE,NO,NONE
ARG,2014,4579.09,563.614,1584.39,1779.11,,5.452,,,,,8.124514295,,,,,0,,,,5,YES,YES,LAC,Latin America & the Caribbean,NO,Argentina,Upper-Middle Income,AR,NO,IBRD
ARG,2015,5954.51,642.464,2105.86,2463.16,,6.867,,,,,9.268239154,,,,,0,,,,5,YES,YES,LAC,Latin America & the Caribbean,NO,Argentina,Upper-Middle Income,AR,NO,IBRD
ARG,2016,8228.16,556.774,2868.94,3416.5,168.27,9.295,,,,,14.77827628,,,,,0,,,,5,YES,YES,LAC,Latin America & the Caribbean,NO,Argentina,Upper-Middle Income,AR,NO,IBRD
ARG,2017,10660.23,643.861,3670.12,4383.64,211.473,10.257,,,,,16.55672575,,,,,0,,,,5,YES,YES,LAC,Latin America & the Caribbean,NO,Argentina,Upper-Middle Income,AR,NO,IBRD
ARG,2018,14542.72,517.244,4940.7,5742.99,283.959,14.024,,,,,28.11578288,,,,,0,,,,5,YES,YES,LAC,Latin America & the Caribbean,NO,Argentina,Upper-Middle Income,AR,NO,IBRD
ARG,2019,21447.25,444.458,7261.83,8220.03,436.015,20.753,,,,,48.25484073,,,,,0,,,,5,YES,YES,LAC,Latin America & the Caribbean,NO,Argentina,Upper-Middle Income,AR,NO,IBRD
ARG,2020,26969.15,382.76,8907.09,11986.09,,29.17,,,,,70.45968753,,,,,,,,,5,YES,YES,LAC,Latin America & the Caribbean,NO,Argentina,Upper-Middle Income,AR,NO,IBRD
ARG,2021,41568.96,416.938,,,,41.939,,,,,99.70057898,,,,,,,,,5,YES,YES,LAC,Latin America & the Caribbean,NO,Argentina,Upper-Middle Income,AR,NO,IBRD
ARG,2022,59987.93,441.586,,,,58,,,,,135.8465395,,,,,,,,,5,YES,YES,LAC,Latin America & the Caribbean,NO,Argentina,Upper-Middle Income,AR,NO,IBRD
ARG,2023,79147.57,464.257,,,,73.485,,,,,170.4822329,,,,,,,,,5,YES,YES,LAC,Latin America & the Caribbean,NO,Argentina,Upper-Middle Income,AR,NO,IBRD
ARG,2024,98637,473.984,,,,87.997,,,,,208.1019612,,,,,,,,,5,YES,YES,LAC,Latin America & the Caribbean,NO,Argentina,Upper-Middle Income,AR,NO,IBRD
ARG,2025,117348.3,482.072,,,,100.961,,,,,243.4248411,,,,,,,,,5,YES,YES,LAC,Latin America & the Caribbean,NO,Argentina,Upper-Middle Income,AR,NO,IBRD
ARM,2014,4828.63,11.61,1064.62,1158.42,270.783,165.186,293.196,1.082771075,1152.739742,1254.303669,415.9026701,2.771657469,3.015858658,0.24420119,0.441508497,0,0.304760562,-0.018860535,0.285900027,5,NO,NO,ECA,Eastern Europe & Central Asia,YES,Armenia,Lower-Middle Income,AM,NO,IBRD
ARM,2015,5043.63,10.553,1084.08,1328.03,280.885,172.924,293.196,1.043829325,1131.594495,1386.236659,477.9332891,2.367682939,2.90048149,0.532798551,0.441508497,0,0.304760562,-0.018860535,0.285900027,5,NO,NO,ECA,Eastern Europe & Central Asia,YES,Armenia,Lower-Middle Income,AM,NO,IBRD
ARM,2016,5067.29,10.546,1085.19,1370.59,276.935,161.229,293.196,1.05871775,1148.909915,1451.06796,480.4940262,2.39110135,3.019950054,0.628848704,0.441508497,0,0.304760562,-0.018860535,0.285900027,5,NO,NO,ECA,Eastern Europe & Central Asia,YES,Armenia,Lower-Middle Income,AM,NO,IBRD
ARM,2017,5564.49,11.527,1181.99,1448.25,279.632,155.971,293.196,1.048506609,1239.324326,1518.499696,482.7353171,2.567295747,3.1456155,0.578319754,0.441508497,0,0.304760562,-0.018860535,0.285900027,5,NO,NO,ECA,Eastern Europe & Central Asia,YES,Armenia,Lower-Middle Income,AM,NO,IBRD
ARM,2018,6017.04,12.458,1341.69,1447.08,286.411,156.523,293.196,1.023689733,1373.474277,1481.360938,482.9860331,2.843714276,3.067088563,0.223374287,0.441508497,0,0.304760562,-0.018860535,0.285900027,5,NO,NO,ECA,Eastern Europe & Central Asia,YES,Armenia,Lower-Middle Income,AM,NO,IBRD
ARM,2019,6569.03,13.673,1565.49,1629.44,290.543,156.053,293.196,1.009131179,1579.784769,1644.318708,480.4380897,3.288217156,3.422540267,0.134323111,0.441508497,0,0.304760562,-0.018860535,0.285900027,5,NO,NO,ECA,Eastern Europe & Central Asia,YES,Armenia,Lower-Middle Income,AM,NO,IBRD
ARM,2020,6340.32,12.813,1472.97,1842.25,293.196,155.447,293.196,1,1472.97,1842.25,494.8349333,2.976689601,3.72295866,0.746269059,0.441508497,0.304760562,0.304760562,-0.018860535,0.285900027,5,NO,NO,ECA,Eastern Europe & Central Asia,YES,Armenia,Lower-Middle Income,AM,NO,IBRD
ARM,2021,6719.24,13.146,1610.56,1830.96,299.133,155.652,293.196,0.980152641,1578.594638,1794.62028,511.1242964,3.088475052,3.511123014,0.422647962,0.441508497,-0.018860535,0.304760562,-0.018860535,0.285900027,5,NO,NO,ECA,Eastern Europe & Central Asia,YES,Armenia,Lower-Middle Income,AM,NO,IBRD
ARM,2022,7265.91,14.104,1810.01,1966.67,307.262,157.439,293.196,0.954221479,1727.150419,1876.638756,515.1666194,3.352605456,3.64278019,0.290174734,0.441508497,-0.151333763,0.304760562,-0.018860535,0.285900027,5,NO,NO,ECA,Eastern Europe & Central Asia,YES,Armenia,Lower-Middle Income,AM,NO,IBRD
ARM,2023,7874.79,15.1,1989.61,2131.46,316.813,159.857,293.196,0.925454448,1841.293424,1972.569138,521.5092715,3.530701225,3.782423909,0.251722684,0.441508497,-0.189785813,0.304760562,-0.018860535,0.285900027,5,NO,NO,ECA,Eastern Europe & Central Asia,YES,Armenia,Lower-Middle Income,AM,NO,IBRD
ARM,2024,8578.3,16.23,2179.58,2315.74,328.074,163.138,293.196,0.893688619,1947.86584,2069.550483,528.5459026,3.685329563,3.915554869,0.230225306,0.441508497,-0.211283191,0.304760562,-0.018860535,0.285900027,5,NO,NO,ECA,Eastern Europe & Central Asia,YES,Armenia,Lower-Middle Income,AM,NO,IBRD
ARM,2025,9351.98,17.447,2379.42,2518.22,340.466,166.926,293.196,0.86116088,2049.06342,2168.59255,536.0222388,3.822720909,4.045713765,0.222992856,0.441508497,-0.218515641,0.304760562,-0.018860535,0.285900027,5,NO,NO,ECA,Eastern Europe & Central Asia,YES,Armenia,Lower-Middle Income,AM,NO,IBRD
ATG,2014,3.374,1.25,0.68,0.776,95.631,1.915,102.085,1.067488576,0.725892232,0.828371135,2.6992,0.268928657,0.306895056,0.037966399,0.034430003,0,0.134842797,0.041158867,0.176001664,4,NO,NO,LAC,Latin America & the Caribbean,NO,Antigua and Barbuda,High Income,AG,YES,IBRD
ATG,2015,3.609,1.337,0.87,0.964,96.557,2.04,102.085,1.057251157,0.919808507,1.019190116,2.699326851,0.340754772,0.377571955,0.036817182,0.034430003,0,0.134842797,0.041158867,0.176001664,4,NO,NO,LAC,Latin America & the Caribbean,NO,Antigua and Barbuda,High Income,AG,YES,IBRD
ATG,2016,3.879,1.437,0.951,0.956,96.085,2.06,102.085,1.06244471,1.01038492,1.015697143,2.699373695,0.374303462,0.376271409,0.001967947,0.034430003,0,0.134842797,0.041158867,0.176001664,4,NO,NO,LAC,Latin America & the Caribbean,NO,Antigua and Barbuda,High Income,AG,YES,IBRD
ATG,2017,3.964,1.468,0.822,0.935,98.422,2.094,102.085,1.037217289,0.852592611,0.969798165,2.70027248,0.315743177,0.359148261,0.043405084,0.034430003,0,0.134842797,0.041158867,0.176001664,4,NO,NO,LAC,Latin America & the Caribbean,NO,Antigua and Barbuda,High Income,AG,YES,IBRD
ATG,2018,4.334,1.605,0.859,0.996,99.614,2.09,102.085,1.02480575,0.880308139,1.020706527,2.700311526,0.326002437,0.377995841,0.051993404,0.034430003,0,0.134842797,0.041158867,0.176001664,4,NO,NO,LAC,Latin America & the Caribbean,NO,Antigua and Barbuda,High Income,AG,YES,IBRD
ATG,2019,4.487,1.662,0.849,1.031,101.083,2.057,102.085,1.009912646,0.857415836,1.041219938,2.699759326,0.31758973,0.385671392,0.068081662,0.034430003,0,0.134842797,0.041158867,0.176001664,4,NO,NO,LAC,Latin America & the Caribbean,NO,Antigua and Barbuda,High Income,AG,YES,IBRD
