Country,Tax_Type,month,IDA,LCU_USD_ex_rate,Income_Group,Units (LCU),Region_Code,Units(LCU),Country_Code,revenue,grmonth,revenue_USD,revenue_prev_yr,revenue_prev_yr_USD,revenue_diff,revenue_diff_USD,year,outlier,cal_month,revenue_diff_percent_LAC
Australia,Tax Revenue,20,0,0.715205264,High Income,,EAP,mill lcu,AUS,0,-1,0,34484,24663.13832,-34484,-24663.13832,2020,0,Aug,
Australia,Tax Revenue,21,0,0.715205264,High Income,,EAP,mill lcu,AUS,0,-1,0,29029,20761.69361,-29029,-20761.69361,2020,0,Sep,
Australia,Tax Revenue,22,0,0.715205264,High Income,,EAP,mill lcu,AUS,,,,41189,29458.58962,,,2020,0,Oct,
Indonesia,Income Taxes,1,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,56111.6,,3.966136788,,,,,2019,0,Jan,
Indonesia,Income Taxes,2,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,46151.2,,3.262105734,,,,,2019,0,Feb,
Indonesia,Income Taxes,3,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,55027.8,,3.889530541,,,,,2019,0,Mar,
Indonesia,Income Taxes,4,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,97617.6,,6.899905804,,,,,2019,0,Apr,
Indonesia,Income Taxes,5,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,65586.7,,4.635865376,,,,,2019,0,May,
Indonesia,Income Taxes,6,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,55823.8,,3.945794217,,,,,2019,0,Jun,
Indonesia,Income Taxes,7,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,63851.095,,4.513187591,,,,,2019,0,Jul,
Indonesia,Income Taxes,8,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,54038.005,,3.819568851,,,,,2019,0,Aug,
Indonesia,Income Taxes,9,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,52026.5,,3.677389623,,,,,2019,0,Sep,
Indonesia,Income Taxes,10,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,59665.9,,4.21736541,,,,,2019,0,Oct,
Indonesia,Income Taxes,11,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,62810.1,,4.439606931,,,,,2019,0,Nov,
Indonesia,Income Taxes,12,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,101579.7,,7.179958958,,,,,2019,0,Dec,
Indonesia,Income Taxes,13,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,49120,-0.142388548,3.471949455,56111.6,3.966136788,-6991.6,-0.494187333,2020,0,Jan,
Indonesia,Income Taxes,14,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,46500,-0.012914389,3.286759968,46151.2,3.262105734,348.8,0.024654234,2020,0,Feb,
Indonesia,Income Taxes,15,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,52187.5,-0.070885562,3.688769588,55027.8,3.889530541,-2840.3,-0.200760953,2020,0,Mar,
Indonesia,Income Taxes,16,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,93722.5,-0.059409464,6.624588411,97617.6,6.899905804,-3895.1,-0.275317393,2020,0,Apr,
Indonesia,Income Taxes,17,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,40280,-0.398329736,2.847111646,65586.7,4.635865376,-25306.7,-1.788753731,2020,0,May,
Indonesia,Income Taxes,18,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,48458.9,-0.14956912,3.425220917,55823.8,3.945794217,-7364.9,-0.520573301,2020,0,Jun,
Indonesia,Income Taxes,19,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,39361.1,-0.396073977,2.782161028,63851.095,4.513187591,-24489.995,-1.731026563,2020,0,Jul,
Indonesia,Income Taxes,20,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,38226.8,-0.306967657,2.701985289,54038.005,3.819568851,-15811.205,-1.117583562,2020,0,Aug,
Indonesia,Income Taxes,21,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,33938.5,-0.360923425,2.398875337,52026.5,3.677389623,-18088,-1.278514286,2020,0,Sep,
Indonesia,Income Taxes,22,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,,,,59665.9,4.21736541,,,2020,0,Oct,
Indonesia,Property Taxes,1,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,81.9,,0.005788939,,,,,2019,0,Jan,
Indonesia,Property Taxes,2,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,70.5,,0.004983152,,,,,2019,0,Feb,
Indonesia,Property Taxes,3,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,115.1,,0.008135614,,,,,2019,0,Mar,
Indonesia,Property Taxes,4,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,13,,0.000918879,,,,,2019,0,Apr,
Indonesia,Property Taxes,5,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,87.5,,0.006184763,,,,,2019,0,May,
Indonesia,Property Taxes,6,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,11359.6,,0.802930721,,,,,2019,0,Jun,
Indonesia,Property Taxes,7,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,801.003374,,0.05661733,,,,,2019,0,Jul,
Indonesia,Property Taxes,8,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,2156.196626,,0.152406468,,,,,2019,0,Aug,
Indonesia,Property Taxes,9,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,839.4,,0.059331319,,,,,2019,0,Sep,
Indonesia,Property Taxes,10,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,3656.4,,0.258445358,,,,,2019,0,Oct,
Indonesia,Property Taxes,11,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,1217.8,,0.08607777,,,,,2019,0,Nov,
Indonesia,Property Taxes,12,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,771.6,,0.054539011,,,,,2019,0,Dec,
Indonesia,Property Taxes,13,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,640,6.655630047,0.045237126,81.9,0.005788939,558.1,0.039448188,2020,0,Jan,
Indonesia,Property Taxes,14,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,-340,-5.724704661,-0.024032223,70.5,0.004983152,-410.5,-0.029015376,2020,0,Feb,
Indonesia,Property Taxes,15,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,65,-0.446748119,0.004594396,115.1,0.008135614,-50.1,-0.003541219,2020,0,Mar,
Indonesia,Property Taxes,16,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,28.1,1.117619043,0.001986193,13,0.000918879,15.1,0.001067313,2020,0,Apr,
Indonesia,Property Taxes,17,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,6.9,-0.922745123,0.000487713,87.5,0.006184763,-80.6,-0.005697051,2020,0,May,
Indonesia,Property Taxes,18,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,8716.7,-0.248249153,0.616122594,11359.6,0.802930721,-2642.9,-0.186808127,2020,0,Jun,
Indonesia,Property Taxes,19,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,383.3,-0.531198125,0.027092798,801.003374,0.05661733,-417.703374,-0.029524532,2020,0,Jul,
Indonesia,Property Taxes,20,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,286.7718586,-0.869703414,0.020269898,2156.196626,0.152406468,-1869.424767,-0.13213657,2020,0,Aug,
Indonesia,Property Taxes,21,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,4290.328141,4.007332276,0.303253307,839.4,0.059331319,3450.928141,0.243921989,2020,0,Sep,
Indonesia,Property Taxes,22,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,,,,3656.4,0.258445358,,,2020,0,Oct,
Indonesia,VAT,1,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,29258.5,,2.06807885,,,,,2019,0,Jan,
Indonesia,VAT,2,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,28180.1,,1.991854292,,,,,2019,0,Feb,
Indonesia,VAT,3,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,32498.7,,2.297105939,,,,,2019,0,Mar,
Indonesia,VAT,4,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,39942,,2.823220788,,,,,2019,0,Apr,
Indonesia,VAT,5,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,43427.7,,3.069600556,,,,,2019,0,May,
Indonesia,VAT,6,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,39014,,2.757626955,,,,,2019,0,Jun,
Indonesia,VAT,7,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,37074.95024,,2.620569081,,,,,2019,0,Jul,
Indonesia,VAT,8,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,38617.74976,,2.729618795,,,,,2019,0,Aug,
Indonesia,VAT,9,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,48027.3,,3.394714129,,,,,2019,0,Sep,
Indonesia,VAT,10,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,51957.4,,3.672505427,,,,,2019,0,Oct,
Indonesia,VAT,11,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,53164.6,,3.757833957,,,,,2019,0,Nov,
Indonesia,VAT,12,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,91747,,6.484954125,,,,,2019,0,Dec,
Indonesia,VAT,13,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,30460,0.019912014,2.153004487,29258.5,2.06807885,1201.5,0.084925637,2020,0,Jan,
Indonesia,VAT,14,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,25490,-0.113839941,1.801709927,28180.1,1.991854292,-2690.1,-0.190144365,2020,0,Feb,
Indonesia,VAT,15,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,36024.5,0.085967527,2.546320096,32498.7,2.297105939,3525.8,0.249214157,2020,0,Mar,
Indonesia,VAT,16,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,40847.6,0.001893602,2.887231322,39942,2.823220788,905.6,0.064010534,2020,0,Apr,
Indonesia,VAT,17,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,27167.9,-0.387121894,1.920308949,43427.7,3.069600556,-16259.8,-1.149291607,2020,0,May,
Indonesia,VAT,18,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,29530,-0.258471524,2.087269287,39014,2.757626955,-9484,-0.670357667,2020,0,Jun,
Indonesia,VAT,19,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,29970,-0.208062274,2.118369812,37074.95024,2.620569081,-7104.950236,-0.502199269,2020,0,Jul,
Indonesia,VAT,20,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,35885.8,-0.089624557,2.536516363,38617.74976,2.729618795,-2731.949764,-0.193102433,2020,0,Aug,
Indonesia,VAT,21,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,34952.4,-0.287025995,2.470540841,48027.3,3.394714129,-13074.9,-0.924173288,2020,0,Sep,
Indonesia,VAT,22,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,,,,51957.4,3.672505427,,,2020,0,Oct,
Indonesia,Excises,1,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,486.9,,0.034415558,,,,,2019,0,Jan,
Indonesia,Excises,2,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,9588.8,,0.677765247,,,,,2019,0,Feb,
Indonesia,Excises,3,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,11270.2,,0.79661166,,,,,2019,0,Mar,
Indonesia,Excises,4,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,14825.4,,1.047903897,,,,,2019,0,Apr,
Indonesia,Excises,5,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,20037.8,,1.416332019,,,,,2019,0,May,
Indonesia,Excises,6,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,10493.8,,0.741733371,,,,,2019,0,Jun,
Indonesia,Excises,7,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,15921.73543,,1.125396186,,,,,2019,0,Jul,
Indonesia,Excises,8,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,10496.76457,,0.741942915,,,,,2019,0,Aug,
Indonesia,Excises,9,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,14413,,1.018754224,,,,,2019,0,Sep,
Indonesia,Excises,10,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,14862.1,,1.050497964,,,,,2019,0,Oct,
Indonesia,Excises,11,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,17062.1,,1.206000586,,,,,2019,0,Nov,
Indonesia,Excises,12,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,32871.4,,2.323449497,,,,,2019,0,Dec,
Indonesia,Excises,13,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,1520,2.058360525,0.107438175,486.9,0.034415558,1033.1,0.073022618,2020,0,Jan,
Indonesia,Excises,14,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,17540,0.792050297,1.239779997,9588.8,0.677765247,7951.2,0.56201475,2020,0,Feb,
Indonesia,Excises,15,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,10076.9,-0.124048235,0.712265624,11270.2,0.79661166,-1193.3,-0.084346036,2020,0,Mar,
Indonesia,Excises,16,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,16094.7,0.063558376,1.137621842,14825.4,1.047903897,1269.3,0.089717945,2020,0,Apr,
Indonesia,Excises,17,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,21398.4,0.046203407,1.512503323,20037.8,1.416332019,1360.6,0.096171303,2020,0,May,
Indonesia,Excises,18,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,8751.1,-0.183013783,0.618554089,10493.8,0.741733371,-1742.7,-0.123179282,2020,0,Jun,
Indonesia,Excises,19,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,13038.9,-0.197702539,0.9216287,15921.73543,1.125396186,-2882.835434,-0.203767486,2020,0,Jul,
Indonesia,Excises,20,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,9290.3,-0.132920042,0.656666368,10496.76457,0.741942915,-1206.464566,-0.085276547,2020,0,Aug,
Indonesia,Excises,21,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,17606,0.196716219,1.244445075,14413,1.018754224,3193,0.225690851,2020,0,Sep,
Indonesia,Excises,22,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,,,,14862.1,1.050497964,,,2020,0,Oct,
Indonesia,Customs Duties,1,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,3279.8,,0.231826136,,,,,2019,0,Jan,
Indonesia,Customs Duties,2,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,3039.3,,0.214826872,,,,,2019,0,Feb,
Indonesia,Customs Duties,3,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,3301.4,,0.233352889,,,,,2019,0,Mar,
Indonesia,Customs Duties,4,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,3624.8,,0.256211775,,,,,2019,0,Apr,
Indonesia,Customs Duties,5,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,3220,,0.227599292,,,,,2019,0,May,
Indonesia,Customs Duties,6,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,2435.8,,0.172169676,,,,,2019,0,Jun,
Indonesia,Customs Duties,7,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,3633.88586,,0.256853991,,,,,2019,0,Jul,
Indonesia,Customs Duties,8,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,3338.81414,,0.235997433,,,,,2019,0,Aug,
Indonesia,Customs Duties,9,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,3255.6,,0.230115608,,,,,2019,0,Sep,
Indonesia,Customs Duties,10,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,3893.4,,0.275197231,,,,,2019,0,Oct,
Indonesia,Customs Duties,11,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,3749.3,,0.26501181,,,,,2019,0,Nov,
Indonesia,Customs Duties,12,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,4167.9,,0.294599718,,,,,2019,0,Dec,
Indonesia,Customs Duties,13,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,2910,-0.130778433,0.205687559,3279.8,0.231826136,-369.8,-0.026138577,2020,0,Jan,
Indonesia,Customs Duties,14,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,3070,-0.010422821,0.216996841,3039.3,0.214826872,30.7,0.002169968,2020,0,Feb,
Indonesia,Customs Duties,15,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,3160.7,-0.062070932,0.22340779,3301.4,0.233352889,-140.7,-0.0099451,2020,0,Mar,
Indonesia,Customs Duties,16,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,3285.4,-0.112048859,0.232221961,3624.8,0.256211775,-339.4,-0.023989814,2020,0,Apr,
Indonesia,Customs Duties,17,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,2453.9,-0.253403663,0.173449038,3220,0.227599292,-766.1,-0.054150254,2020,0,May,
Indonesia,Customs Duties,18,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,2952,0.187297609,0.208656246,2435.8,0.172169676,516.2,0.03648657,2020,0,Jun,
Indonesia,Customs Duties,19,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,2818,-0.240278227,0.199184722,3633.88586,0.256853991,-815.88586,-0.057669268,2020,0,Jul,
Indonesia,Customs Duties,20,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,2816.6,-0.173547692,0.199085766,3338.81414,0.235997433,-522.21414,-0.036911667,2020,0,Aug,
Indonesia,Customs Duties,21,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,3040.2,-0.085137174,0.214890487,3255.6,0.230115608,-215.4,-0.01522512,2020,0,Sep,
Indonesia,Customs Duties,22,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,,,,3893.4,0.275197231,,,2020,0,Oct,
Indonesia,Other taxes,1,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,545.6,,0.03856465,,,,,2019,0,Jan,
Indonesia,Other taxes,2,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,444.3,,0.031404461,,,,,2019,0,Feb,
Indonesia,Other taxes,3,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,491.5,,0.034740699,,,,,2019,0,Mar,
Indonesia,Other taxes,4,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,447.9,,0.03165892,,,,,2019,0,Apr,
Indonesia,Other taxes,5,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,553.8,,0.039144251,,,,,2019,0,May,
Indonesia,Other taxes,6,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,490,,0.034634675,,,,,2019,0,Jun,
Indonesia,Other taxes,7,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,521.43551,,0.036856631,,,,,2019,0,Jul,
Indonesia,Other taxes,8,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,758.26449,,0.053596417,,,,,2019,0,Aug,
Indonesia,Other taxes,9,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,542.1,,0.03831726,,,,,2019,0,Sep,
Indonesia,Other taxes,10,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,598.9,,0.042332055,,,,,2019,0,Oct,
Indonesia,Other taxes,11,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,578.8,,0.040911326,,,,,2019,0,Nov,
Indonesia,Other taxes,12,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,1717.4,,0.121391001,,,,,2019,0,Dec,
Indonesia,Other taxes,13,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,0,-1,0,545.6,0.03856465,-545.6,-0.03856465,2020,0,Jan,
Indonesia,Other taxes,14,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,1046,1.306429782,0.073934429,444.3,0.031404461,601.7,0.042529967,2020,0,Feb,
Indonesia,Other taxes,15,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,414.9,-0.173001392,0.029326381,491.5,0.034740699,-76.6,-0.005414319,2020,0,Mar,
Indonesia,Other taxes,16,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,467.732489,0.023060556,0.03306074,447.9,0.03165892,19.832489,0.00140182,2020,0,Apr,
Indonesia,Other taxes,17,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,371.367511,-0.343044699,0.026249374,553.8,0.039144251,-182.432489,-0.012894877,2020,0,May,
Indonesia,Other taxes,18,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,509.2,0.018068924,0.035991789,490,0.034634675,19.2,0.001357114,2020,0,Jun,
Indonesia,Other taxes,19,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,490.8,-0.07787708,0.034691221,521.43551,0.036856631,-30.63551,-0.00216541,2020,0,Jul,
Indonesia,Other taxes,20,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,610.9192351,-0.210689378,0.04318161,758.26449,0.053596417,-147.3452549,-0.010414806,2020,0,Aug,
Indonesia,Other taxes,21,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,513.6807649,-0.071677744,0.036308503,542.1,0.03831726,-28.41923513,-0.002008757,2020,0,Sep,
Indonesia,Other taxes,22,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,,,,598.9,0.042332055,,,2020,0,Oct,
Indonesia,Tax Revenue,1,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,89764.3,,6.344810921,,,,,2019,0,Jan,
Indonesia,Tax Revenue,2,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,87474.2,,6.182939759,,,,,2019,0,Feb,
Indonesia,Tax Revenue,3,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,102704.7,,7.259477344,,,,,2019,0,Mar,
Indonesia,Tax Revenue,4,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,156470.7,,11.05982006,,,,,2019,0,Apr,
Indonesia,Tax Revenue,5,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,132913.3,,9.394712122,,,,,2019,0,May,
Indonesia,Tax Revenue,6,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,119617.2,,8.454903752,,,,,2019,0,Jun,
Indonesia,Tax Revenue,7,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,121804.1119,,8.609481264,,,,,2019,0,Jul,
Indonesia,Tax Revenue,8,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,109405.7881,,7.733130425,,,,,2019,0,Aug,
Indonesia,Tax Revenue,9,IBRD,7.07E-05,Lower-Middle Income,,EAP,bill lcu,IDN,119103.9,,8.418622163,,,,,2019,0,Sep,
