Country_Code,year,Country,Tax_Revenue,Total_Non_Tax_Revenue,Total_Revenue,Direct_taxes,Income_Taxes,PIT,CIT,Indirect_Taxes,Tax_on_Goods_and_Services,Value_Added_Tax,Excise_Taxes,Trade_Taxes,Social_Contributions,Property_Tax,Other_Taxes,Resource_Taxes,Non_Res_Tax_Rev_incl_SC,Non_Res_Tax_Rev_excl_SC,Direct_excl_SC_incl_Res,Direct_excl_SC_excl_Res,Export_Taxes,Import_Taxes,Total_Revenue_excl_SC,Tax_Revenue_incl_SC,Tax_Revenue_real_USD,gr_Tax_Revenue,Tax_Revenue_current_LCU,outlier,Resource_Rich,Oil_Gas_Rich,Region_Code,Region_Desc,Country_Name,Income_Group,Income_Desc,Country_Code2,Small_States,IDA_IBRD,IDA_IBRD_Desc,DSSI
ABW,2016,Aruba,0.224558452,0.041211102,0.27,,0.105550883,NULL,NULL,0.030277544,,NULL,NULL,NULL,NULL,0.018292683,NULL,,,0.224558452,0.194280908,0.194280908,,,,,617737898.5,0.05808716,1192180824,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2017,Aruba,0.225651721,0.027528676,0.25,,0.10177268,NULL,NULL,0.031908238,,NULL,NULL,NULL,NULL,0.019603754,NULL,,,0.225651721,0.193743483,0.193743483,,,,,633160271.7,0.024965885,1234540563,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2018,Aruba,0.228820269,0.02810768,0.26,,0.098772763,NULL,NULL,0.037212985,,NULL,NULL,NULL,NULL,0.019992082,NULL,,,0.228820269,0.191409343,0.191409343,,,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
ABW,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NO,NO,LAC,Latin America & the Caribbean,Aruba,High_Income,High Income,AW,NO,NONE,Not IDA-IBRD,NULL
AFG,2003,Afghanistan,0.024799365,0.021545974,0.05,0.001986542,0.001659528,0.000961667,0.000697861,0.023139765,0.001448135,0.001371459,NULL,0.020747225,0.000326942,7.24E-08,0.000944405,,,,0.0016596,,0.000257571,0.020489654,,,201481308.5,NULL,5489551830,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2004,Afghanistan,0.039486368,0.011141989,0.05,0.005391807,0.004116468,0.00150428,0.002612189,0.035369895,0.005030759,0.004971659,NULL,0.028516065,0.001275334,4.84E-09,0.001823071,,,,0.004116473,,0.001294172,0.026984498,,,325341752.9,0.614749057,9863376403,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2005,Afghanistan,0.046028353,0.027550535,0.07,0.003894716,0.003208642,0.001325028,0.000603085,0.042788012,0.005592291,0.00439112,NULL,0.036376569,0.000654374,3.17E-05,0.000819151,,,,0.003240342,,6.37E-05,0.036312881,,,421831374.1,0.296579275,14184245779,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2006,Afghanistan,0.070125564,0.01852639,0.09,0.0136669,0.012611806,0.004888969,0.006226832,0.05749202,0.017214145,0.015487931,NULL,0.033436702,0.001033356,2.17E-05,0.006841173,,,,0.012633544,,7.06E-05,0.033366062,,,677103201.3,0.605151354,24407090705,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2007,Afghanistan,0.05968343,0.018234245,0.08,0.014235922,0.013234614,0.004755036,0.00679303,0.046379604,0.015336666,0.013928838,NULL,0.030766405,0.000932096,6.92E-05,0.000276534,,,,0.013303826,,8.20E-06,0.030758207,,,655956391.1,-0.031231296,28971474316,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2008,Afghanistan,0.060290748,0.017573549,0.08,0.018340252,0.016647188,0.004378734,0.008742837,0.043403573,0.015296018,0.013326662,NULL,0.02768985,0.001453077,0.000239986,0.000417705,,,,0.016887175,,1.18E-05,0.027678089,,,688639336.6,0.049824876,31052560105,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2009,Afghanistan,0.085126706,0.018671062,0.1,0.028032358,0.026086312,0.006171348,0.015370972,0.058699098,0.021912859,0.020486707,NULL,0.035895847,0.00160475,0.000341296,0.000890392,,,,0.026427608,,1.49E-05,0.035880984,,,1180298319,0.713957157,52071334129,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2010,Afghanistan,0.093278527,0.016816365,0.11,0.029941198,0.025634132,0.007836548,0.015357804,0.065656176,0.025617161,0.023350878,NULL,0.038933365,0.002318847,0.001988219,0.00110565,,,,0.027622351,,2.76E-05,0.038896511,,,1479077935,0.253139067,67741769415,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2011,Afghanistan,0.090322684,0.022732575,0.11,0.030689578,0.025730974,0.009170261,0.013673842,0.062904288,0.025043984,0.022821437,NULL,0.03654156,0.003271182,0.001687423,0.001318744,,,,0.027418396,,0.000152642,0.036376467,,,1438314682,-0.027559909,76805648465,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2012,Afghanistan,0.076487613,0.021477297,0.1,0.029868296,0.024778003,0.009490454,0.013381963,0.049636558,0.02082928,0.019284641,NULL,0.028110533,0.003017241,0.002073052,0.000696745,,,,0.026851055,,0.00015923,0.027939539,,,1373325689,-0.045184127,78690013840,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2013,Afghanistan,0.072367755,0.019807991,0.09,0.028997493,0.024778818,0.008920462,0.014557652,0.046484774,0.017358544,0.016246727,NULL,0.025353657,0.003114512,0.001104163,0.003772573,,,,0.025882981,,5.20E-05,0.02528914,,,1372127650,-0.000872364,82413107433,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2014,Afghanistan,0.06815045,0.012015918,0.08,0.032445287,0.027973264,0.013275522,0.013554241,0.038968031,0.014631712,0.013551976,NULL,0.021841475,0.003262868,0.001209155,0.002494844,,,,0.029182419,,7.80E-05,0.021740956,,,1327371123,-0.03261834,80176924772,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2015,Afghanistan,0.075573358,0.020187167,0.1,0.036809948,0.032404226,0.016552329,0.014467207,0.041937699,0.014355614,0.013479456,NULL,0.024722148,0.003174289,0.001231433,0.002859937,,,,0.033635659,,8.11E-05,0.024614466,,,1493310222,0.125013341,92407814536,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2016,Afghanistan,0.088139028,0.024810449,0.11,0.022209525,0.019090336,0.011248574,0.007841762,0.069039112,0.033930832,0.021991586,NULL,0.030689157,0.00310961,9.58E-06,0.004419124,,,,0.019099915,,0.007444954,0.023244203,,,1780970371,0.192632546,1.07787E+11,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2017,Afghanistan,0.092167685,0.025155218,0.12,0.023001596,0.020301117,0.010475333,0.009013532,0.071858738,0.038527556,0.024273575,NULL,0.033259684,0.002692648,7.83E-06,7.15E-05,,,,0.020308947,,0.00080521,0.03244592,,,1911672070,0.073387913,1.18478E+11,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2018,Afghanistan,NULL,,NULL,,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,NULL,,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2019,NULL,0.0836038,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,NULL,NULL,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AFG,2020,NULL,0.069531361,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,NULL,NULL,0,NO,NO,SA,South Asia,Afghanistan,Low_Income,Low Income,AF,NO,IDA,IDA,1
AGO,2003,Angola,0.287447138,,0.29,,0.02084368,NULL,NULL,0.048083435,0.022649631,NULL,NULL,0.017307027,3.47E-05,NULL,0.008126778,0.218520023,0.068961848,0.068927115,,0.02084368,,,,,12677905182,0.04278185,3.82E+11,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2004,Angola,0.303216658,,0.3,,0.021549424,NULL,NULL,0.043149672,0.018550801,NULL,NULL,0.016873606,NULL,NULL,0.007725265,0.238517562,0.064699096,0.064699096,,0.021549424,,,,,14838195034,0.170398013,5.966E+11,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2005,Angola,0.325942247,,0.33,,0.019613015,NULL,NULL,0.038791565,0.017037255,NULL,NULL,0.014585629,7.62E-06,NULL,0.007168681,0.267537667,0.058412199,0.058404581,,0.019613015,,,,,18347449381,0.23650143,1.0503E+12,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2006,Angola,NULL,,NULL,,0.020618753,NULL,NULL,0.033374824,0.013302421,NULL,NULL,0.011710881,NULL,NULL,0.008361522,0.32082589,,0.053993577,,0.020618753,,,,,,NULL,,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2007,Angola,0.410040069,0.013902372,0.42,,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,0.343963854,,0.066076215,,,,,,,29353839188,NULL,2.0528E+12,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2008,Angola,0.462116252,0.021826338,0.48,,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,0.391669865,,0.070446386,,,,,,,36775820751,0.252845344,3.07E+12,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2009,Angola,0.356442318,0.011295707,0.37,,NULL,NULL,NULL,,,NULL,NULL,NULL,0.002868751,NULL,NULL,0.259801267,0.099509802,0.096641051,,,,,,,28609733488,-0.222050442,1.988E+12,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2010,Angola,0.401732096,0.015970604,0.42,,NULL,NULL,NULL,,,NULL,NULL,NULL,0.009868015,NULL,NULL,0.324605766,0.086994345,0.07712633,,,,,,,33664947448,0.176695598,3.094E+12,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2011,Angola,0.431199493,0.014855813,0.45,,NULL,NULL,NULL,,,NULL,NULL,NULL,0.008570661,NULL,NULL,0.363491268,0.076278886,0.067708224,,,,,,,37388874783,0.110617352,4.528E+12,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2012,Angola,0.394766441,0.009815991,0.4,,NULL,NULL,NULL,,,NULL,NULL,NULL,0.008752592,NULL,NULL,0.335625095,0.067893938,0.059141346,,,,,,,37153775331,-0.006287952,4.826E+12,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2013,Angola,0.348768473,0.009397499,0.36,,NULL,NULL,NULL,,,NULL,NULL,NULL,0.00917014,NULL,NULL,0.275104206,0.082834407,0.073664267,,,,,,,34450949271,-0.07274701,4.602E+12,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2014,Angola,0.286096066,0.015079734,0.3,,NULL,NULL,NULL,,,NULL,NULL,NULL,0.006073782,NULL,NULL,0.207346344,0.084823504,0.078749722,,,,,,,29623127079,-0.140136115,4.098E+12,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2015,Angola,0.218059983,0.012401176,0.23,,NULL,NULL,NULL,,,NULL,NULL,NULL,0.010824148,NULL,NULL,0.136054519,0.092829611,0.082005464,,,,,,,22791539204,-0.230616702,3.042E+12,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2016,Angola,0.157043355,0.008459434,0.17,,NULL,NULL,NULL,,,NULL,NULL,NULL,0.0096075,NULL,NULL,0.082962881,0.0837484,0.074140899,,,,,,,15990614416,-0.298396906,2.599E+12,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2017,Angola,0.158076822,0.008389966,0.17,,NULL,NULL,NULL,,,NULL,NULL,NULL,0.008192555,NULL,NULL,0.099149652,0.067119725,0.05892717,,,,,,,16072149914,0.00509896,3.203E+12,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2018,Angola,NULL,,NULL,,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,NULL,,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2019,NULL,0.185306833,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,NULL,NULL,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AGO,2020,NULL,0.167929953,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,NULL,NULL,0,YES,YES,SSA,Sub-Saharan Africa,Angola,Upper_Middle_Income,Upper-Middle Income,AO,NO,IBRD,IBRD,1
AIA,2003,Anguilla,0.143760908,0.042539267,0.19,0.001308901,NULL,NULL,NULL,0.142452007,0.061300175,NULL,NULL,0.081151832,NULL,0.001308901,NULL,,0.143760908,0.143760908,0.001308901,0.001308901,,0.065881326,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2004,Anguilla,0.178397187,0.037741407,0.22,0.001104627,NULL,NULL,NULL,0.17729256,0.089842959,NULL,NULL,0.087449601,NULL,0.001104627,NULL,,0.178397187,0.178397187,0.001104627,0.001104627,,0.071248412,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2005,Anguilla,0.165532403,0.039443268,0.2,0.000808264,NULL,NULL,NULL,0.16472414,0.070965552,NULL,NULL,0.093758588,NULL,0.000808264,NULL,,0.165532403,0.165532403,0.000808264,0.000808264,,0.078401578,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2006,Anguilla,0.200388269,0.035830152,0.24,0.000781749,NULL,NULL,NULL,0.19960652,0.102799964,NULL,NULL,0.096806556,NULL,0.000781749,NULL,,0.200388269,0.200388269,0.000781749,0.000781749,,0.081432164,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2007,Anguilla,0.171279646,0.048058379,0.22,0.000729737,NULL,NULL,NULL,0.170549909,0.069116497,NULL,NULL,0.101433412,NULL,0.000729737,NULL,,0.171279646,0.171279646,0.000729737,0.000729737,,0.086213187,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2008,Anguilla,0.1622294,0.051323863,0.21,0.000627176,NULL,NULL,NULL,0.161602224,0.06428549,NULL,NULL,0.097316734,NULL,0.000627176,NULL,,0.1622294,0.1622294,0.000627176,0.000627176,,0.081323758,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2009,Anguilla,0.146303094,0.048112218,0.19,0.001966439,NULL,NULL,NULL,0.144336654,0.058599895,NULL,NULL,0.085736759,NULL,0.001966439,NULL,,0.146303094,0.146303094,0.001966439,0.001966439,,0.072364971,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2010,Anguilla,0.160215648,0.055294443,0.22,0.002073542,NULL,NULL,NULL,0.158142107,0.074509262,NULL,NULL,0.083632845,NULL,0.002073542,NULL,,0.160215648,0.160215648,0.002073542,0.002073542,,0.071329831,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2011,Anguilla,0.228893734,0.030814688,0.26,0.013995702,0.010390996,NULL,NULL,0.214898032,0.131928611,0.025982369,NULL,0.082969421,NULL,0.003604707,NULL,,0.228893734,0.228893734,0.013995702,0.013995702,,0.067652651,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2012,Anguilla,0.205117759,0.032731456,0.24,0.023494363,0.018322803,NULL,NULL,0.181623395,0.087311518,0.024565491,NULL,0.094311878,NULL,0.00517156,NULL,,0.205117759,0.205117759,0.023494363,0.023494363,,0.070880738,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2013,Anguilla,0.193715904,0.034081044,0.23,0.021538244,0.016777437,NULL,NULL,0.17217766,0.068894567,0.017894241,NULL,0.103283094,NULL,0.004760807,NULL,,0.193715904,0.193715904,0.021538244,0.021538244,,0.07458095,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2014,Anguilla,0.185968394,0.037741993,0.22,0.021031684,0.015722024,NULL,NULL,0.16493671,0.069251769,0.019162801,NULL,0.095684941,NULL,0.00530966,NULL,,0.185968394,0.185968394,0.021031684,0.021031684,,0.073528258,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2015,Anguilla,NULL,,NULL,,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2016,Anguilla,NULL,,NULL,,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2017,Anguilla,NULL,,NULL,,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2018,Anguilla,NULL,,NULL,,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,NULL,,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
AIA,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NO,NO,LAC,Latin America & the Caribbean,Anguilla,High_Income,High Income,,YES,NONE,Not IDA-IBRD,NULL
